Name,GrammyAward, DB Row , Peak_chart , Week_chart ,Genre
Superwoman,1," 4,070 ", 82 , 7 ,Soul
Swagga Like Us,1," 4,009 ", 5 , 20 ,East Coast
Sweet Child O' Mine,1, Not Ranked ,  ,  ,
Sweet Thing,1," 3,958 ", 30 , 20 ,Country
Tequila,1, 189 , 21 , 50 ,Country
That's What i Like,3, 889 , 1 , 52 ,Funk
The Closer i Get to you,1, Not Ranked ,  ,  ,
The Connection,1, Not Ranked ,  ,  ,
The Game of Love,1," 5,539 ", 5 , 37 ,M\xc3\xa9xico
The House that Built Me,1," 3,472 ", 28 , 20 ,Country
The Joke,2, Not Ranked ,  ,  ,
The Last in Line,1, Not Ranked ,  ,  ,
The Lucky One,1," 4,782 ", 69 , 9 ,Country
The Pretender,1," 4,322 ", 37 , 20 ,Dance
The Real Slim Shady,1," 6,184 ", 4 , 19 ,Hardcore Hip-Hop
The Reason Why,1, Not Ranked ,  ,  ,
The Rising,2," 5,716 ", 52 , 11 ,Adult Alternative
The Whole World,1," 5,821 ", 19 , 20 ,Atlanta
There Goes My Baby,1," 3,455 ", 25 , 25 ,Producer
There Goes the Neighborhood,1, Not Ranked ,  ,  ,
Thinking Out Loud,2," 1,702 ", 2 , 58 ,Soul
Thrift Shop,2," 2,422 ", 1 , 49 ,Comedy
Thy will,1, Not Ranked ,  ,  ,
Tonite,1, Not Ranked ,  ,  ,
Toxic,1," 3,416 ", -   , -   ,Soundtrack
Traveller,1," 1,710 ", -   , -   ,Country
Trouble,1," 1,893 ", 67 , 5 ,Aussie Hip-Hop
Underneath it all,1," 5,597 ", 3 , 30 ,Jamaica
Untitled (How Does it Feel),1, Not Ranked ,  ,  ,
Uptown Funk,2, Not Ranked ,  ,  ,
Use Somebody,2," 3,644 ", 4 , 57 ,Pop-Rock
Vertigo,2, 448 , -   , -   ,R&;B
Viva La Vida,2," 3,928 ", 1 , 51 ,Pop
Wagon Wheel,1," 2,456 ", 15 , 26 ,Country
Waiting on the World to Change,1," 4,506 ", 14 , 40 ,Protest Songs
Walk,2," 3,022 ", 83 , 13 ,Post-Grunge
Walk on,1, Not Ranked ,  ,  ,
Wanna be Happy?,1, Not Ranked ,  ,  ,
War Machine,1, Not Ranked ,  ,  ,
Wax Simulacra,1, Not Ranked ,  ,  ,
We Belong Together,2," 4,879 ", 26 , 3 ,Pop
We are Young,1," 2,692 ", 1 , 42 ,Alternative Pop
Welcome to Jamrock,1," 4,962 ", 55 , 12 ,Reggae
What Goes Around...comes Around,1, Not Ranked ,  ,  ,
What a Beautiful Name,1, Not Ranked ,  ,  ,
What you Know,1," 4,740 ", 3 , 20 ,Rap
Whenever i Say your Name,1, Not Ranked ,  ,  ,
Whiplash,1, Not Ranked ,  ,  ,
Whiskey in the jar,1, Not Ranked ,  ,  ,
White Horse,2," 3,943 ", 13 , 22 ,Pop Country
Who Let the Dogs Out,1," 6,126 ", 40 , 20 ,Rap
With Arms Wide Open,1," 6,049 ", 1 , 47 ,Rock
Woman,1," 1,070 ", -   , -   ,Pop Country
Work it,1," 1,966 ", 2 , 26 ,Hip-Hop
You'll Think of Me,1," 5,289 ", 24 , 20 ,Country
a Change is Gonna Come,1, Not Ranked ,  ,  ,
a Feather's not a Bird,2, Not Ranked ,  ,  ,
a Milli,1," 4,089 ", 6 , 23 ,Crunk
all My Life,1," 5,606 ", 43 , 20 ,Rock
all for you,1," 5,977 ", 1 , 22 ,Dance
all of the Lights,1," 3,124 ", 18 , 25 ,Pop
i,2, 223 , 39 , 4 ,Trap
i Gotta Feeling,1," 3,498 ", 1 , 56 ,Rap
i Hope you Dance,1," 5,982 ", 14 , 48 ,Country
i See the Light (from Tangled),1, Not Ranked ,  ,  ,
i Try,1," 6,194 ", 5 , 27 ,Soul
i will Remember you,1," 6,410 ", 14 , 40 ,Pop
o Death,1, Not Ranked ,  ,  ,
this Love,1," 5,183 ", 5 , 43 ,Adult Alternative
this is America,3, 547 , 1 , 17 ,Protest Songs
u Don't Have to Call,1," 5,762 ", 3 , 26 ,Neo Soul
u Remind Me,1," 5,916 ", 1 , 24 ,Soul Pop
when Bad Does Good,1, Not Ranked ,  ,  ,
where Were you (when the World Stopped Turning),1, Not Ranked ,  ,  ,
where are ü Now,1, Not Ranked ,  ,  ,
you Don't Know My Name,1," 5,351 ", 3 , 20 ,R&;B
you Got Me,1, Not Ranked ,  ,  ,
you Say,1, 165 , 29 , 43 ,Worship
you Want it Darker,1, Not Ranked ,  ,  ,
your Body is a Wonderland,1," 5,553 ", 18 , 29 ,Pop
Old Town Road,0, 1 , 1 , 7 ,Country
Senorita,0, 2 , -   , -   ,Pop
Bad Guy,0, 3 , 2 , 13 ,Hip-Hop
Talk,0, 4 , 3 , 20 ,Synth-Pop
I Don't Care,0, 5 , 2 , 7 ,Canada
Sucker,0, 6 , 1 , 17 ,Alternative Pop
Suge,0, 7 , 7 , 13 ,Trap
Money In The Grave,0, 8 , 7 , 2 ,Hip-Hop
No Guidance,0, 9 , 9 , 3 ,Alternative R&;B
Wow.,0, 10 , 2 , 27 ,Memes
Truth Hurts,0, 11 , 11 , 8 ,Pop
Sunflower,0, 12 , 1 , 36 ,Rap
You Need To Calm Down,0, 13 , 2 , 2 ,Synth-Pop
If I Can't Have You,0, 14 , 2 , 8 ,Canada
Dancing With A Stranger,0, 15 , 7 , 24 ,UK
Panini,0, 16 , -   , -   ,Memes
Without Me,0, 17 , 1 , 38 ,Synth-Pop
God's Country,0, 18 , 18 , 13 ,Country
Pop Out,0, 19 , 11 , 14 ,Trap
MEGATRON,0, 20 , -   , -   ,East Coast
Sweet But Psycho,0, 21 , 10 , 28 ,Dance-Pop
Rodeo,0, 22 , -   , -   ,Country
7 Rings,0, 23 , 1 , 23 ,Memes
"Hey Look Ma, I Made It",0, 24 , 24 , 11 ,Pop-Rock
Happier,0, 25 , 2 , 45 ,Adult Alternative
Rumor,0, 26 , 25 , 16 ,Country
Never Really Over,0, 27 , 15 , 4 ,Electro-Pop
Whiskey Glasses,0, 28 , 17 , 17 ,Country
The Git Up,0, 29 , 29 , 3 ,Atlanta
The London,0, 30 , 12 , 5 ,Hip-Hop
ME!,0, 31 , 2 , 10 ,Dream-Pop
High Hopes,0, 32 , 4 , 47 ,Adult Alternative
Beer Never Broke My Heart,0, 33 , 22 , 8 ,Rock
Act Up,0, 34 , 26 , 17 ,Motown
Eastside,0, 35 , 9 , 50 ,R&;B
Middle Child,0, 36 , 4 , 23 ,Trap
Con Calma,0, 37 , 22 , 21 ,Latin Pop
Pure Water,0, 38 , 23 , 22 ,Atlanta
Cross Me,0, 39 , 34 , 5 ,Rap
Going Bad,0, 40 , 6 , 30 ,East Coast
Better,0, 41 , 8 , 41 ,Electro-Pop
Press,0, 43 , 16 , 4 ,Hardcore Hip-Hop
Speechless,0, 44 , 24 , 27 ,Country
Sicko Mode,0, 45 , 1 , 47 ,Hip-Hop
Earfquake,0, 46 , 13 , 6 ,Hip-Hop
Look Back At It,0, 47 , 27 , 29 ,Pop
Shotta Flow,0, 48 , 48 , 10 ,Rap
"Break Up With Your Girlfriend, I'm Bored",0, 49 , 2 , 20 ,Trap
Nightmare,0, 50 , 15 , 6 ,Alternative Rock
Go Loko,0, 51 , 49 , 8 ,Trap
Someone You Loved,0, 52 , 53 , 7 ,UK
Look What God Gave Her,0, 53 , 32 , 17 ,Country
Cool,0, 54 , 27 , 12 ,Teen Pop
Clout,0, 55 , 39 , 12 ,East Coast
One Thing Right,0, 56 , -   , -   ,Pop
Good As You,0, 57 , 36 , 18 ,Country
Worth It,0, 58 , 52 , 19 ,Rap
Just Us,0, 59 , 43 , 6 ,Rap
Knockin' Boots,0, 60 , 59 , 9 ,Country
Walk Me Home,0, 61 , 49 , 17 ,Pop
Easier,0, 63 , 48 , 5 ,Australia
Please Me,0, 64 , 3 , 19 ,Rap
Some Of It,0, 65 , 65 , 5 ,Country
All To Myself,0, 66 , 66 , 8 ,Country
Callaita,0, 67 , 68 , 3 ,Pop
24/7,0, 68 , 54 , 12 ,East Coast
It's You,0, 69 , 70 , 2 ,R&;B
Rearview Town,0, 70 , 68 , 5 ,Country
Out The Mud,0, 71 , -   , -   ,Atlanta
Call You Mine,0, 72 , 67 , 4 ,Electronic Pop
Girls Need Love,0, 73 , 37 , 18 ,Atlanta
Soltera,0, 74 , 73 , 7 ,Reggaeton
Talk You Out Of It,0, 75 , 73 , 19 ,Country
Trampoline,0, 76 , 77 , 4 ,Pop
Bacc At It Again,0, 77 , 78 , 5 ,Hip-Hop
Before I Let Go,0, 78 , 65 , 10 ,Bounce
Wish Wish,0, 79 , 19 , 6 ,Atlanta
Raised On Country,0, 80 , 81 , 4 ,Country
Wake Up,0, 81 , 30 , 4 ,Trap
Otro Trago,0, 82 , 81 , 3 ,Dancehall
Eyes On You,0, 83 , 38 , 19 ,Country
La La Land,0, 84 , 85 , 4 ,Pop
Ocean Eyes,0, 85 , 84 , 18 ,Alternative Dance
Here With Me,0, 86 , 31 , 16 ,Progressive House
Love Someone,0, 87 , 52 , 10 ,Country
Sanguine Paradise,0, 88 , 28 , 11 ,East Coast
Love Ain't,0, 89 , 50 , 11 ,Country
Calma,0, 90 , 71 , 15 ,Puerto Rico
Only Human,0, 91 , 91 , 3 ,Pop
The Ones That Didn't Make It Back Home,0, 92 , 93 , 2 ,Country
Big Ole Freak,0, 93 , 65 , 12 ,Rap
Tap,0, 94 , 89 , 3 ,Canada
You Stay,0, 95 , 44 , 4 ,Atlanta
Baila Baila Baila,0, 96 , 69 , 9 ,Latin Pop
Cash Shit,0, 97 , -   , -   ,East Coast
Omerta,0, 98 , 35 , 2 ,Hip-Hop
Summer Days,0, 99 , -   , -   ,Electronic Pop
When The Party's Over,0, 100 , 29 , 32 ,R&;B
Envy Me,0, 101 , 31 , 27 ,Rap
Miss Me More,0, 102 , 47 , 20 ,Country
Down Bad,0, 103 , -   , -   ,East Coast
Sanctuary,0, 104 , -   , -   ,Synth-Pop
Rescue Me,0, 105 , -   , -   ,EDM
Te Robare,0, 106 , 91 , 6 ,Reggaeton
Robbery,0, 107 , 27 , 18 ,Trap
Racks In The Middle,0, 108 , 26 , 11 ,Rap
Beautiful Crazy,0, 109 , 21 , 31 ,Country
Close Friends,0, 110 , 28 , 33 ,Atlanta
Bury A Friend,0, 111 , 14 , 20 ,Trap
Even Though I'm Leaving,0, 112 , -   , -   ,Country
Put A Date On It,0, 113 , 46 , 20 ,Rap
Please Tell Me,0, 115 , -   , -   ,R&;B
On My Way To You,0, 116 , 78 , 16 ,Country
Amor Genuino,0, 117 , -   , -   ,Latin Pop
XanaX Damage,0, 118 , -   , -   ,Alternative R&;B
Government Official,0, 119 , -   , -   ,Atlanta
Mother's Daughter,0, 120 , -   , -   ,R&;B
Murder On My Mind,0, 121 , 14 , 20 ,Hip-Hop
The Search,0, 122 , -   , -   ,Hip-Hop
Isis,0, 123 , 59 , 2 ,Trap
Homicide,0, 124 , 5 , 5 ,Trap
Under Enemy Arms,0, 125 , -   , -   ,Rap
Night Shift,0, 126 , 56 , 16 ,Country
A Lot,0, 127 , 12 , 23 ,East Coast
Thotiana,0, 128 , 8 , 20 ,Trap
Higher,0, 129 , 21 , 2 ,Neo Soul
Who Do You Love,0, 130 , 52 , 16 ,Future Bass
Don't Call Me Up,0, 131 , 66 , 10 ,R&;B
Earth,0, 132 , 17 , 6 ,Memes
Juice,0, 133 , 93 , 2 ,Electro-Funk
HP,0, 134 , -   , -   ,Colombia
Mixed Personalities,0, 135 , 42 , 18 ,Rap
Paradise,0, 136 , 91 , 3 ,Pop
Triggered,0, 137 , 51 , 3 ,West Coast
Girls Like You,0, 138 , 1 , 52 ,Pop-Rock
